City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
168,Kieta,PG,80.49,light rain,-6.2167,155.6333,Uruna Bay Retreat
171,Vung Tau,VN,78.06,light rain,10.346,107.0843,Seaside Resort
172,Namatanai,PG,79.41,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
173,Bonthe,SL,76.73,light rain,7.5264,-12.505,Bonthe Holiday Village
177,Tukrah,LY,79.81,clear sky,32.5341,20.5791,Lagrota restaurant
178,Jamestown,US,85.17,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
181,Norman Wells,CA,73.44,scattered clouds,65.282,-126.8329,Heritage Hotel
182,Samarai,PG,79.43,scattered clouds,-10.6167,150.6667,Nuli Sapi
184,Mount Isa,AU,71.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
185,Cascais,PT,71.46,scattered clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
186,Shenzhen,CN,78.84,light rain,22.5455,114.0683,Grand Skylight
187,Awjilah,LY,84.52,clear sky,29.1081,21.2869,المنزل
188,Pilibanga,IN,86.81,overcast clouds,29.4916,74.079,Sharma Bhawan
195,Aklavik,CA,73.4,haze,68.2191,-135.0107,Aklavik Inn
197,Belmonte,BR,71.35,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
199,San Quintin,MX,75.72,scattered clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
200,Dingle,PH,75.65,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
201,Veraval,IN,82.11,overcast clouds,20.9,70.3667,Lords Inn Somnath
204,Santo Tomas,PH,75.56,heavy intensity rain,14.1079,121.1414,Microtel by Wyndham Batangas
208,Puerto Cabezas,NI,78.76,scattered clouds,14.0351,-83.3888,Cabaña Caribe
209,Magaria,NE,81.84,overcast clouds,12.9983,8.9099,Chez Honorable Chapiou
210,Hernani,ES,73.81,overcast clouds,43.2662,-1.9762,Ibiltze
212,Cao Bang,VN,76.26,overcast clouds,22.6667,106.25,khách sạn 88
215,Halifax,CA,84.09,fog,44.6453,-63.5724,Hotel Halifax
216,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
219,Bardiyah,LY,78.28,clear sky,31.7561,25.0865,بورتو بردية
220,Tres Picos,MX,87.24,scattered clouds,15.8667,-93.5333,Tres picos Chiapas
222,Touros,BR,78.17,few clouds,-5.1989,-35.4608,INN NEW HORIZON
225,Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
226,Tres Marias,MX,72.09,broken clouds,19.0522,-99.2431,La Quinta Nube
227,Catarama,EC,84.07,light rain,-1.5833,-79.4667,Hotel Ricaurte
230,Denpasar,ID,74.86,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
235,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
237,Mahibadhoo,MV,80.71,overcast clouds,3.7833,72.9667,Omadhoo Inn
239,Acapulco,MX,87.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
241,Lagoa,PT,75.7,light rain,39.05,-27.9833,Casa Das Faias
249,Singaraja,ID,74.77,few clouds,-8.112,115.0882,Puri Bagus Lovina Resort
253,Denizli,TR,81.18,clear sky,37.8402,29.0698,Anemon Denizli Hotel
256,Honiara,SB,79.48,scattered clouds,-9.4333,159.95,Heritage Park Hotel
258,Stalowa Wola,PL,72.86,clear sky,50.5829,22.0533,Apartamenty FLOOM Popiełuszki 39
259,Porto Novo,BJ,75.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
266,Cravo Norte,CO,82.18,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
271,Beyneu,KZ,83.07,clear sky,45.3167,55.2,NUR
274,Labuhan,ID,73.74,clear sky,-6.8844,112.2051,DoubleFAG
277,Lucea,JM,84.85,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
279,Isangel,VU,77.13,clear sky,-19.55,169.2667,Tanna Lodge
281,Srandakan,ID,72.41,broken clouds,-7.9386,110.2506,Puri Brata
282,Ranong,TH,79.54,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
283,Okitipupa,NG,71.4,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
