City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Padang,ID,-0.9492,100.3543,77.05,81,100,3.24,overcast clouds
79,Chardara,KZ,41.2547,67.9692,77.95,38,100,7.36,overcast clouds
80,Hermanus,ZA,-34.4187,19.2345,48.79,77,100,6.6,overcast clouds
81,Yamaranguila,HN,14.2833,-88.25,70.75,60,75,4.61,broken clouds
82,Butaritari,KI,3.0707,172.7902,81.39,76,100,10.56,overcast clouds
83,Punta Arenas,CL,-53.15,-70.9167,42.82,87,75,4.61,broken clouds
84,Hobart,AU,-42.8794,147.3294,45.27,87,0,5.75,clear sky
85,Linkou,CN,45.3,130.2833,70.65,88,100,4.47,overcast clouds
86,Chifeng,CN,42.2683,118.9636,70.93,82,0,7.18,clear sky
87,San Patricio,US,28.017,-97.5169,100.17,41,15,20.54,few clouds
88,Kaitangata,NZ,-46.2817,169.8464,50.47,74,100,8.7,light rain
89,Georgetown,MY,5.4112,100.3354,80.89,88,20,0.0,few clouds
90,Koygorodok,RU,60.445,50.9968,61.57,80,82,2.68,broken clouds
91,Kutum,SD,14.2,24.6667,80.26,51,66,2.55,broken clouds
92,Lokosovo,RU,61.1333,74.8167,59.95,67,26,7.2,scattered clouds
93,Thompson,CA,55.7435,-97.8558,68.16,40,75,5.75,broken clouds
94,Chokurdakh,RU,70.6333,147.9167,44.35,73,100,13.53,overcast clouds
95,Longyearbyen,SJ,78.2186,15.6401,46.65,94,100,0.96,overcast clouds
96,Talcahuano,CL,-36.7167,-73.1167,55.08,71,75,8.05,broken clouds
97,Macheng,CN,31.1783,115.0319,81.05,80,0,3.13,clear sky
98,Bethel,US,41.3712,-73.414,97.65,54,0,9.22,clear sky
99,Kasongo-Lunda,CD,-6.4667,16.8167,82.53,37,51,1.23,broken clouds
100,Victoria,HK,22.2855,114.1577,78.94,94,100,7.0,moderate rain
101,Xai-Xai,MZ,-25.0519,33.6442,67.23,67,7,6.6,clear sky
102,Warah,PK,27.4481,67.7978,94.51,50,6,9.46,clear sky
103,Port Pirie,AU,-33.1833,138.0167,53.1,70,63,17.45,broken clouds
104,Te Anau,NZ,-45.4167,167.7167,48.96,82,100,10.94,overcast clouds
105,Bandarbeyla,SO,9.4942,50.8122,77.23,79,66,30.24,broken clouds
106,Sioux Lookout,CA,50.1001,-91.917,68.07,56,75,3.44,broken clouds
107,Mar Del Plata,AR,-38.0023,-57.5575,50.09,76,75,10.36,broken clouds
108,Bharatpur,IN,27.2167,77.4833,87.57,66,96,5.84,overcast clouds
109,Coahuayana,MX,18.7333,-103.6833,92.73,55,17,7.02,few clouds
110,Kudahuvadhoo,MV,2.6708,72.8944,81.07,78,100,17.98,overcast clouds
111,Chapais,CA,49.7834,-74.8492,62.38,34,8,7.31,clear sky
112,Mahebourg,MU,-20.4081,57.7,70.09,73,20,12.66,few clouds
113,West Memphis,US,35.1465,-90.1845,86.65,70,20,0.0,few clouds
114,Bogorodskoye,RU,56.55,37.8833,66.83,65,57,5.55,broken clouds
115,Kapaa,US,22.0752,-159.319,82.72,70,20,9.22,few clouds
116,Dalaba,GN,10.7,-12.25,62.83,98,100,1.63,overcast clouds
117,Champerico,GT,14.3,-91.9167,91.94,74,99,6.87,overcast clouds
118,Beringovskiy,RU,63.05,179.3167,54.09,62,0,5.73,clear sky
119,Barbate,ES,36.1924,-5.9219,75.13,80,0,2.62,clear sky
120,Gravdal,NO,68.1214,13.5031,55.29,82,75,13.8,broken clouds
121,Airai,TL,-8.9266,125.4092,55.15,80,10,1.83,clear sky
122,Hovd,MN,48.0056,91.6419,65.35,50,77,6.06,broken clouds
123,Strezhevoy,RU,60.7333,77.5889,59.2,67,66,4.81,broken clouds
124,Baiyin,CN,36.5583,104.2081,71.87,72,18,4.85,few clouds
125,Opmeer,NL,52.7067,4.9444,69.01,73,43,1.01,scattered clouds
126,Yatou,CN,37.15,122.3833,77.74,96,5,6.62,clear sky
127,Panzhihua,CN,26.5851,101.7128,69.71,96,100,1.61,overcast clouds
128,Chongwe,ZM,-15.3292,28.682,61.05,53,0,3.62,clear sky
129,Puebloviejo,CO,10.9938,-74.2844,91.58,62,40,12.66,scattered clouds
130,Deputatskiy,RU,69.3,139.9,42.13,69,9,0.92,clear sky
131,Abu Zabad,SD,12.35,29.25,81.3,61,99,6.85,overcast clouds
132,Saint Anthony,US,45.0205,-93.218,86.94,40,0,6.91,clear sky
133,Seoul,KR,37.5683,126.9778,80.17,91,75,1.14,broken clouds
134,La Asuncion,VE,11.0333,-63.8628,80.62,77,96,13.42,overcast clouds
135,Karlskrona,SE,56.1616,15.5866,72.05,81,88,2.48,overcast clouds
136,Baykit,RU,61.67,96.37,43.52,95,100,4.03,overcast clouds
137,Kavieng,PG,-2.5744,150.7967,81.91,77,100,13.02,light rain
138,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,78,0,9.22,clear sky
139,Yellowknife,CA,62.456,-114.3525,64.92,45,40,9.22,scattered clouds
140,Antofagasta,CL,-23.65,-70.4,58.28,71,45,8.81,scattered clouds
141,Nyurba,RU,63.2842,118.3319,50.0,96,100,8.3,moderate rain
142,Tual,ID,-5.6667,132.75,79.61,85,100,8.3,overcast clouds
